year;sample;Season;bank;T;E;;nitchatka;;;
2014;4;august;vlas;15;71;;"11,369";;;
2014;5;august;vlas;17;62;;"0,01";;;
2014;6;august;vlas;16;85;;"0,01";;;
2014;1;august;vor2;28;51;;"19,874";;;
2014;2;august;vor2;13;28;;"8,443";;;
2014;3;august;vor2;30;17;;0;;;
2014;4;august;vor2;37;39;;"8,614";;;
2014;5;august;vor2;14;64;;0;;;
2014;6;august;vor2;45;29;;"1,298";;;
2014;1;august;vor4;40;50;;"2,5";;;
2014;2;august;vor4;47;37;;"0,538";;;
2014;3;august;vor4;37;46;;"1,444";;;
2014;4;august;vor4;37;59;;"5,256";;;
2014;5;august;vor4;34;44;;"10,31";;;
2014;6;august;vor4;64;48;;"2,268";;;
2014;1;august;vor5;12;53;;"0,55";;;
2014;2;august;vor5;5;68;;"1,204";;;
2014;3;august;vor5;8;65;;"0,031";;;
2014;4;august;vor5;3;63;;0;;;
2014;5;august;vor5;13;44;;"0,076";;;
2014;6;august;vor5;7;67;;"4,758";;;
2015;1;august;mat;3;48;;;;;
2015;2;august;mat;69;50;;;;;
2015;3;august;mat;25;60;;;;;
2015;4;august;mat;43;17;;;;;
2015;5;august;mat;31;24;;;;;
2015;6;august;mat;18;123;;;;;
2015;7;august;mat;43;66;;;;;
2015;8;august;mat;12;16;;;;;
2015;9;august;mat;40;46;;;;;
2015;10;august;mat;39;54;;;;;
2015;11;august;mat;32;104;;;;;
2015;12;august;mat;35;159;;;;;
2015;1;august;vor4;35;29;;;;;
2015;2;august;vor4;61;25;;;;;
2015;3;august;vor4;59;35;;;;;
2015;4;august;vor4;49;28;;;;;
2015;5;august;vor4;53;22;;;;;
2015;6;august;vor4;38;77;;;;;
2015;1;august;vor2;33;45;;;;;
2015;2;august;vor2;34;36;;;;;
2015;3;august;vor2;18;32;;;;;
2015;4;august;vor2;13;32;;;;;
2015;5;august;vor2;11;41;;;;;
2015;6;august;vor2;19;31;;;;;
2015;1;august;vor5;3;57;;;;;
2015;2;august;vor5;9;77;;;;;
2015;3;august;vor5;8;52;;;;;
2015;4;august;vor5;13;63;;;;;
2015;5;august;vor5;15;77;;;;;
2015;6;august;vor5;12;57;;;;;
2015;1;august;korg;23;61;;;;;
2015;2;august;korg;38;108;;;;;
2015;3;august;korg;29;43;;;;;
2015;4;august;korg;33;68;;;;;
2015;5;august;korg;21;91;;;;;
2015;6;august;korg;31;67;;;;;
2016;1;august;korg;29;49;;;;;
2016;2;august;korg;22;23;;;;;
2016;3;august;korg;18;44;;;;;
2016;4;august;korg;29;65;;;;;
2016;5;august;korg;35;22;;;;;
2016;6;august;korg;49;44;;;;;
2016;1;august;vor4;21;25;;;;;
2016;2;august;vor4;39;57;;;;;
2016;3;august;vor4;50;36;;;;;
2016;4;august;vor4;45;30;;;;;
2016;5;august;vor4;51;33;;;;;
2016;6;august;vor4;76;44;;;;;
2016;1;august;vor5;9;40;;;;;
2016;2;august;vor5;8;35;;;;;
2016;3;august;vor5;6;49;;;;;
2016;4;august;vor5;7;52;;;;;
2016;5;august;vor5;15;61;;;;;
2016;6;august;vor5;10;52;;;;;
2016;1;august;vor2;71;59;;;;;
2016;2;august;vor2;30;54;;;;;
2016;3;august;vor2;16;56;;;;;
2016;4;august;vor2;15;41;;;;;
2016;5;august;vor2;7;42;;;;;
2016;6;august;vor2;9;45;;;;;
2016;1;august;mat;36;35;;;;;
2016;2;august;mat;48;62;;;;;
2016;3;august;mat;25;39;;;;;
2016;4;august;mat;57;43;;;;;
2016;5;august;mat;40;34;;;;;
2016;6;august;mat;61;64;;;;;
2016;7;august;mat;26;69;;;;;
2016;8;august;mat;83;80;;;;;
2016;9;august;mat;13;43;;;;;
2016;10;august;mat;24;52;;;;;
2016;11;august;mat;45;67;;;;;
2016;12;august;mat;16;53;;;;;
2018;1;august;vor2;35;44;;;;;
2018;2;august;vor2;36;32;;;;;
2018;3;august;vor2;22;27;;;;;
2018;4;august;vor2;38;37;;;;;
2018;5;august;vor2;34;29;;;;;
2018;6;august;vor2;39;33;;;;;
2018;1;august;vor4;86;34;;;;;
2018;2;august;vor4;70;27;;;;;
2018;3;august;vor4;82;47;;;;;
2018;4;august;vor4;44;41;;;;;
2018;5;august;vor4;66;46;;;;;
2018;6;august;vor4;33;48;;;;;
2018;1;august;vor5;21;32;;;;;
2018;2;august;vor5;27;39;;;;;
2018;3;august;vor5;14;51;;;;;
2018;4;august;vor5;8;36;;;;;
2018;5;august;vor5;17;44;;;;;
2018;6;august;vor5;31;39;;;;;
2018;1;august;mat;18;27;;;;;
2018;2;august;mat;14;45;;;;;
2018;3;august;mat;28;42;;;;;
2018;4;august;mat;23;28;;;;;
